date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:23:05	24/24	---M--	200	added ('OK')	text/plain	date:Tue,%2003%20Jan%202023%2020:53:05%20GMT	https://luukthe.dev/robots.txt		(from )
02:23:06	27451/27451	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202023%2020:53:06%20GMT	https://luukthe.dev/	test/luuk-portfolio/luukthe.dev/index.html	(from )
02:23:06	11828/11828	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Oct%202022%2011:00:21%20GMT	https://luukthe.dev/css/vendor.css?id=1eec703ddb976ca5865e2399e9353246	test/luuk-portfolio/luukthe.dev/css/vendor82da.css	(from https://luukthe.dev/)
02:23:07	7926/7926	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Sep%202022%2008:12:44%20GMT	https://luukthe.dev/css/awesomestyles.css?id=4d8446f7fcd7246428e08355938c53c0	test/luuk-portfolio/luukthe.dev/css/awesomestylesbf7d.css	(from https://luukthe.dev/)
02:23:08	428/428	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Aug%202022%2015:35:02%20GMT	https://luukthe.dev/images/favicon/apple-touch-icon.png	test/luuk-portfolio/luukthe.dev/images/favicon/apple-touch-icon.png	(from https://luukthe.dev/)
02:23:09	169/169	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Aug%202022%2015:35:02%20GMT	https://luukthe.dev/images/favicon/favicon-16x16.png	test/luuk-portfolio/luukthe.dev/images/favicon/favicon-16x16.png	(from https://luukthe.dev/)
02:23:10	172/172	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Aug%202022%2015:35:02%20GMT	https://luukthe.dev/images/favicon/favicon-32x32.png	test/luuk-portfolio/luukthe.dev/images/favicon/favicon-32x32.png	(from https://luukthe.dev/)
02:23:11	248/248	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Aug%202022%2015:35:02%20GMT	https://luukthe.dev/images/favicon/android-chrome-192x192.png	test/luuk-portfolio/luukthe.dev/images/favicon/android-chrome-192x192.png	(from https://luukthe.dev/)
02:23:12	293/293	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Sep%202022%2015:45:56%20GMT	https://luukthe.dev/images/favicon/site.webmanifest	test/luuk-portfolio/luukthe.dev/images/favicon/site.html	(from https://luukthe.dev/)
02:23:13	15406/15406	---M--	200	added ('OK')	image/x-icon	date:Mon,%2029%20Aug%202022%2015:35:02%20GMT	https://luukthe.dev/images/favicon/favicon.ico	test/luuk-portfolio/luukthe.dev/images/favicon/favicon.ico	(from https://luukthe.dev/)
